"R0000100","R7006500","R7703700","R8496100","T0987800","T2210000","T3107800"
572,-5,54000,-1,134280,-1,-5
573,65000,60000,76775,58400,65000,57500
574,-5,-5,-5,-5,-5,-5
575,40800,28000,30010,-5,-5,-5
576,50200,-2,64100,67030,71600,77700
577,-2,-1,-1,-1,-1,-1
578,-2,35000,46000,64000,67000,104000
579,-2,-2,80700,102000,90318,100800
580,94800,76300,78500,-5,-5,-5
581,58000,72500,47000,0,49000,-5
582,19237,43000,42000,-5,-5,-5
583,46000,59900,71500,36000,34000,71300
584,11000,-2,-5,-5,-5,-5
585,-2,-2,80000,60200,-2,65000
586,-5,-5,-5,-5,-5,-5
587,-2,2500,-5,1500,-2,-5
588,9888,10752,-5,-5,-5,-5
589,-2,6300,7836,-2,6360,7824
590,-2,38000,37700,41000,54912,40600
591,31000,35050,38000,-2,-2,-2
592,23780,28000,-5,-5,-5,-5
593,7000,4500,87984,0,-5,-2
594,77000,-2,77000,178000,77000,-2
595,-5,-5,-5,-5,-5,-5
596,-5,-5,-5,-5,-5,-5
597,-2,-2,-2,1550,10200,-2
598,-5,-5,-5,-5,-5,-5
599,-5,-5,-5,-5,-5,-5
600,53000,60000,62000,-5,0,39010
601,-5,-5,-5,-5,-5,-5
602,-5,-5,-5,-5,-5,-5
603,-5,-5,-5,-5,-5,-5
604,107000,108500,129000,40000,180000,129000
605,65100,65010,54000,-5,52137,53000
606,45000,71000,-1,35600,52000,68000
607,-5,-5,-5,-5,89000,83016
608,90000,83000,90000,102000,119000,122000
609,-2,81200,33000,32000,37000,41298
610,-5,-5,20320,-5,-5,-5
611,52000,48000,26825,58000,62006,128000
612,38000,36000,37000,46148,4789,-5
613,61000,77000,-2,96200,82900,70350
614,89000,96700,93000,140000,151600,142000
615,42050,48000,-2,40620,44200,41784
616,73000,81520,77000,55000,0,-5
617,-5,-5,-5,-5,-5,-5
618,-5,22200,55608,-5,43808,-5
619,22780,33000,408473,-5,61000,47000
620,90000,125000,-2,130000,116000,105000
621,2000,19000,4620,54800,-2,-2
622,-2,92000,99000,101500,118500,110000
623,-2,1940,6000,13000,12484,9600
624,56000,86000,84000,90000,80000,60520
625,-2,40000,42000,35000,37500,-5
626,27000,10000,7518,6120,6362,400
627,44000,66000,74600,58748,60900,-2
628,15000,4811,2000,2000,5305,15000
629,26000,17100,19000,28900,30000,26000
630,42800,30700,25000,29111,29800,27000
631,57500,33500,36580,45000,26000,26000
632,15000,67800,-2,70000,78000,93000
633,-5,-5,-5,-5,-5,-1
634,-5,-5,-5,-5,-5,-1
635,67500,75000,56384,76100,90000,103500
636,29200,48000,54000,58500,88000,35000
637,102700,50000,0,12484,1320,20400
638,60000,78800,-2,78000,87700,72200
639,56000,61000,37100,35002,37000,45000
640,75200,79300,118040,104655,120150,128400
641,72000,30000,15000,0,0,1500
642,-5,-5,-5,60000,69000,60000
643,-5,-5,-5,-5,-5,-5
644,-2,200000,210000,-5,454737,-5
645,140000,138000,120310,196550,222000,-2
646,16668,10960,14640,12500,20916,-2
647,43020,51000,91000,69485,60000,56300
648,21500,20074,27500,-5,23000,18060
649,122500,123500,140000,136000,167000,165000
650,83000,52000,102000,58000,71000,59732
651,-5,-5,-5,-5,-5,-5
652,-5,-5,-5,-5,-5,-5
653,67400,-2,117000,161000,165000,108000
654,-5,18500,-5,-2,54000,56380
655,146960,154710,135800,135600,161500,193200
656,-1,-1,-1,188585,-1,-1
657,332808,-2,408473,479983,454737,-2
658,45000,55000,61000,57000,56000,-2
659,69000,77000,120200,131600,132100,148000
660,74150,85700,90000,-5,-5,-5
661,-5,-5,-5,-5,-5,-5
662,26110,-5,41000,57000,58000,50000
663,52005,73050,84000,85000,0,-5
664,-2,112500,-2,81000,107000,113000
665,124100,0,100000,101000,109000,108000
666,6000,-2,7440,10800,15300,-2
667,75000,108200,103500,108500,158500,209000
668,13500,14100,-1,32800,54800,65000
669,30000,-2,28000,-2,-5,34000
670,175000,125000,110500,125000,165000,135000
671,91500,390662,13250,21100,48200,61100
672,45520,31550,28000,15225,6033,-2
673,33990,46000,26000,37400,122280,39632
674,72000,63000,-1,-2,-1,-1
675,-5,-2,341,8400,-5,-2
676,-5,-5,-5,-5,-5,20456
677,32208,29000,73000,86897,85000,-2
678,-5,-5,-5,-5,-5,-5
679,-2,10000,8000,20000,0,-2
680,22000,-5,-5,-5,-5,-5
681,-2,18709,5500,5000,684,0
682,-5,6324,500,560,6000,0
683,39004,48000,55000,52010,58000,72000
684,78400,94000,181000,115800,127000,120576
685,5500,10500,5547,145,0,0
686,52000,52472,47300,57000,70400,70300
687,35005,35000,36000,38010,31400,40010
688,28000,34000,43000,23000,36360,33320
689,-5,-5,-5,-5,56920,67301
690,74300,72500,75010,85000,41800,48500
691,-5,-5,-5,-5,-5,-5
692,35000,38000,50000,45000,35000,4000
693,-5,-5,-5,-5,-5,-5
694,-5,-5,-5,-5,-5,-5
